"exam_report_id","report_id","start_date_time","end_date_time","company_name","search_company_name","address","address_kind","check_school_order","event_kind","report_content","number_of_people","positions","exam_format","result_kind","action_year","course","status","is_open","user_no","created_at","updated_at"
1,"PXXXXXXXX","2022-12-13 13:00:30","2023-01-12 14:00:30","電子開発学園","電子開発学園","****","OTHER",True,"OTHER","****** 1件目 ******
レポートID: P20221362, イベント種別：試験_他, 結果種別：継続（合格）
開始日時: 2022-12-13 13:00:30, 終了日時: 2022-12-13 15:00:00
形式: 単独, 住所種別：HCS
対応者数: 1名, 役職: 人事

------
対応者数:1名
役職:人事
形式:単独
適正試験、性格診断の実施
結果は上出来思われる。
非言語系がメインでした
推論ではサイコロの面がどのように構成されているか
割合では5%の砂糖水を10%に変更する
図形による推移の変化の問題が出ました。

****** 2件目 ******
レポートID: P20221432, イベント種別：試験_面接, 結果種別：継続（合格）
開始日時: 2022-12-22 11:00:30, 終了日時: 2022-12-22 11:00:50
形式: 直接、 単独, 住所種別：HCS
対応者数: 1名, 役職: 校長

------
面接で口癖が出てしまうのは若干気になった。
内容は、志望理由、家族構成、アルバイト、自己啓発、部活動、入学理由を聞かれた
返答も問題なくできたと思っている。

****** 3件目 ******
レポートID: P20221473, イベント種別：試験_面接, 結果種別：内定
開始日時: 2023-01-12 14:00:00, 終了日時: 2023-01-12 14:00:30
形式: 直接、, 住所種別：HCS
対応者数: 2名, 役職: 人事

------
対応者数:2名
役職:人事
形式:直接、
志望理由、勤務地について、部活動について、アルバイトについて、理想の教師像、教師において必要なこと、国家試験取得状況等資格に関すること、高校時代出席率について、趣味について、健康状態について
","その他","その他","その他","OFFERED","2023","S","1",True,"20213024","2023-10-16","2023-10-16"
3,"PXXXXXXXX","2022-12-13 13:00:30","2023-01-13 10:00:00","株式会社エスシーシー","エスシーシー","****","OTHER",True,"OTHER","****** 1件目 ******
レポートID: P20221360, イベント種別：試験_適正, 結果種別：継続（合格）
開始日時: 2022-12-13 13:00:30, 終了日時: 2022-12-13 14:00:30
形式: 直接、 単独, 住所種別：HCS
対応者数: 1名, 役職: 人事

------
適性試験・性格診断
法則性試験 5分
「サイコロの面で次に来る図形は何でしょう」
「a、c、e、g、? はてなに入るアルファベットはなんでしょう
などが出題されました。
推論 12分
「AはBより身長が高い」「CはAより身長が高い」一番身長が高いのは誰でしょう?
「Aは30歳である」「BはAより10歳年下」「Cは最年長の3分の2である」Cは何歳でしょうか
などの問題が出題されました。
数式 13分
「割引計算:定価80000円の商品を1割引で販売したが、原価の2割の利益が出た。原価は何円でしょうか」
「時速計算」
など1問1分程度の問題が13問出題されました。

****** 2件目 ******
レポートID: P20221457, イベント種別：試験_面接, 結果種別：内定
開始日時: 2023-01-13 09:00:30, 終了日時: 2023-01-13 10:00:00
形式: オンライン, 住所種別：HCS
対応者数: 4名, 役職: 人事、教師

------
【概要】
本校で実施されるが、Zoomを用いた面接。
【気を付けること】
マスクを外すため、女性の方は特にリップの塗り忘れに気をつけよう。
携わりたい業務や趣味など深堀されるため、しっかり準備を行おう。
国家資格について聞かれる際に、受験回数を聞かれます。覚えておきましょう。
アルバイトをしている方は、変なお客さんの対応経験について聞かれたため、用意しておくとよいでしょう。
【質問項目】(順不同、回答は一部省略)
Q. 志望理由を教えてください。
Q. やりたい業務などがあれば教えてください。
Q. 希望勤務地を教えてください。
Q. 家族にIT業界に携わっている方はいますか?
Q. 趣味は何ですか?
Q. あなたの性格を教えてください。
Q. 中高で所属していた部活を教えてください。
Q. 健康状態を教えてください。
Q. アトピーやアレルギーをお持ちでしたら教えてください。
Q. アルバイトの経験があれば教えてください。
Q. 今までにボランティア活動をしたことはありますか?
Q. 現在取得している国家資格について教えてください。
Q. これから受験する企業などはありますか?
Q. 御社のコンテストに参加したとのことですが、そこで得たものなどはありますか?
Q. これからも多くの壁にぶつかることもあると思いますが、どのように越えていきますか?
","その他","その他","その他","OFFERED","2023","S","1",True,"20213032","2023-10-16","2023-10-16"
4,"PXXXXXXXX","2022-12-10 00:00:00","2023-02-06 15:00:00","株式会社システナ","システナ","****","OTHER",False,"OTHER","****** 1件目 ******
レポートID: P20221359, イベント種別：試験_適正, 結果種別：継続（合格）
開始日時: 2022-12-10 00:00:00, 終了日時: 2022-12-10 00:00:30
形式: オンライン, 住所種別：自宅
対応者数: 0人, 役職: なし

------
オンラインでの受験でした。
30分間の問題でした。アルファベットがある規則で並んでいて、次に来るものを当てという問題と、図形も規則順に並んでいて次のものを当てる問題でした。
内容自体は難しくなく、自分的は結構できたと思っています。

****** 2件目 ******
レポートID: P20221731, イベント種別：試験_面接, 結果種別：辞退
開始日時: 2023-02-06 14:00:30, 終了日時: 2023-02-06 15:00:00
形式: オンライン, 住所種別：自宅
対応者数: 1名, 役職: 人事

------
質問内容
・自己PR
・学生時代に頑張ったこと
・HCS入学理由
・資格取得について
・SE志望した理由
・一人暮らしで不安だったこと
逆質問の時間もあり、20代はどのようなことをしているかなどを聞きました。
","その他","その他","その他","DECLINE","2023","S","2",True,"20213020","2023-10-16","2023-10-16"
5,"PXXXXXXXX","2022-12-13 13:00:30","2023-01-12 17:00:40","株式会社SCC","scc","****","OTHER",True,"OTHER","****** 1件目 ******
レポートID: P20221358, イベント種別：試験_適正, 結果種別：継続（合格）
開始日時: 2022-12-13 13:00:30, 終了日時: 2022-12-13 16:00:30
形式: 直接、 単独, 住所種別：HCS
対応者数: 1名, 役職: 人事

------
一次試験
適正テスト
 1回目:5分間で図形の並びを予測して答える問題
 2回目:12分間で計算問題
 3回目:13分間でヒントから問題の人物がどこの立ち位置にいるか考える問題
性格診断テスト
 10分間で60問を解く
質疑応答
 
模試でやった問題と同じような形式の問題だったので対策はできていたので所感として解けた気がします。
性格テストは10分で60問だったのでかなり急ぎ目でやらなければならなかったので大変でした。

****** 2件目 ******
レポートID: P20221470, イベント種別：試験_面接, 結果種別：内定
開始日時: 2023-01-12 17:00:10, 終了日時: 2023-01-12 17:00:40
形式: オンライン、 単独, 住所種別：HCS
対応者数: 2名, 役職: 人事

------
面接
質問内容
志望理由
入社したらどこの部署に行きたいか
希望する勤務地
高校時代の部活
アルバイト経験
レポートの内容について
","その他","その他","その他","OFFERED","2023","S","1",True,"20212009","2023-10-16","2023-10-16"
6,"PXXXXXXXX","2022-12-13 13:00:30","2023-01-13 10:00:30","株式会社SCC","scc","****","OTHER",True,"OTHER","****** 1件目 ******
レポートID: P20221357, イベント種別：試験_他, 結果種別：継続（合格）
開始日時: 2022-12-13 13:00:30, 終了日時: 2022-12-13 16:00:30
形式: 直接, 住所種別：HCS
対応者数: 1名, 役職: 人事

------
●30分間の適性検査(誤答は減点)
 ・図形の遷移やアルファベットの並びから法則を見つける問題(5分間で17問)
 ・状況や説明から正しい答えを出す推論の問題(12分間で10問)
 ・計算の文章問題(13分間で13問)
●10分間の性格検査(60問)
●質疑応答
検査はすべてマーク形式

****** 2件目 ******
レポートID: P20221428, イベント種別：試験_面接, 結果種別：他
開始日時: 2022-12-22 11:00:10, 終了日時: 2022-12-22 11:00:40
形式: 直接, 住所種別：自宅
対応者数: 1名, 役職: 学校長

------
質問内容
・SCCに志望した理由
・SCCに入社してやりたいこと
・勤務地の希望
・家族構成
・家族の仕事
・得意な科目
 →WACと回答し、グループでの役割を質問されました
・自己啓発をやっているか(技術面も可)
 →paizaと回答し、詳細を質問されました(paizaの何を使っているか)
・部活やサークルの経験
・アルバイトの経験
 →セイコーマートと回答し、深堀りなしで次の質問へ移行しました
・健康状態
・熱中していること(冷静な印象ととられたため)
質問の回答の仕方にアドバイス等も頂きました。

****** 3件目 ******
レポートID: P20221463, イベント種別：試験_面接, 結果種別：内定
開始日時: 2023-01-13 09:00:50, 終了日時: 2023-01-13 10:00:30
形式: オンライン単独, 住所種別：HCS
対応者数: 2名, 役職: 代表取締役副社長人事

------
質問内容
・志望動機(志望部署も回答)
・勤務地
・アルバイト経験
・健康状態
・中高での部活
・趣味について
・家族構成
・趣味以外でのストレス解消の方法
","その他","その他","その他","OFFERED","2023","S","1",True,"20212080","2023-10-16","2023-10-16"
7,"PXXXXXXXX","2022-12-13 13:00:30","2023-01-12 16:00:10","株式会社エスシーシー","エスシーシー","****","OTHER",True,"OTHER","****** 1件目 ******
レポートID: P20221355, イベント種別：試験_適正, 結果種別：継続（合格）
開始日時: 2022-12-13 13:00:30, 終了日時: 2022-12-13 16:00:45
形式: 直接, 住所種別：HCS
対応者数: 1名, 役職: 人事

------
筆記試験(適性検査、性格検査)
2回に分けて行われ、1回目は3部構成(1部:5分、2部:12分、3部:13分)でCAB(法則性)、非言語(推論、速度算、原価計算など)を行い、2回目は性格検査で10分間で60問の問題を解きました。

****** 2件目 ******
レポートID: P20221472, イベント種別：試験_面接, 結果種別：辞退
開始日時: 2023-01-12 16:00:00, 終了日時: 2023-01-12 16:00:10
形式: オンライン, 住所種別：HCS
対応者数: 2名, 役職: 人事

------
・志望動機
・希望勤務地
・IT業界に興味を持ったのはいつ頃か
・健康状態
・趣味について
・中学、高校時代の部活動
・自宅から片道何分かかるか
・長所、またそれを表すエピソード
・他に受けている会社はあるか
・もし内定が決まったら、このまま就職活動は続けるつもりかどうか
・最後に言いたいこと
","その他","その他","その他","DECLINE","2023","S","1",True,"20213046","2023-10-16","2023-10-16"
8,"PXXXXXXXX","2022-12-13 13:00:30","2023-01-12 16:00:00","電子開発学園","電子開発学園","****","OTHER",True,"OTHER","****** 1件目 ******
レポートID: P20221354, イベント種別：試験_適正, 結果種別：継続（合格）
開始日時: 2022-12-13 13:00:30, 終了日時: 2022-12-13 16:00:30
形式: グループ, 住所種別：HCS
対応者数: 1名, 役職: 人事部門

------
○筆記試験(適性試験)
  ・規則性探す問題
  ・正しい文章を選ぶ問題
  ・計算問題
・性格試験
試験はとても緊張したが、リラックスしてやってと言われ少しだけ緊張が解けた状態で解くことができた。

****** 2件目 ******
レポートID: P20221422, イベント種別：試験_面接, 結果種別：他
開始日時: 2022-12-22 13:00:30, 終了日時: 2022-12-22 14:00:00
形式: 対面, 住所種別：HCS
対応者数: 1名, 役職:   校長

------
・健康のこと
・志望理由(他の学校の教師は選択肢になかったのか)
・自己啓発(日々何をして高めているのか?)
・勤務地(どこの学校、どの学科がいいか)
・尊敬する先生は誰か

****** 3件目 ******
レポートID: P20221466, イベント種別：試験_面接, 結果種別：内定
開始日時: 2023-01-12 15:00:30, 終了日時: 2023-01-12 16:00:00
形式: 直接(対面), 住所種別：HCS
対応者数: 2名, 役職: 人事

------
面接
質問事項:
・志望動機
・健康状態
・学生時代に頑張ったこと
・家族構成
・レポートについて
・資格について
・この学校でいちばん大変だったこと
","その他","その他","その他","OFFERED","2023","S","1",True,"20213105","2023-10-16","2023-10-16"
9,"PXXXXXXXX","2022-12-13 13:00:30","2023-01-13 11:00:00","株式会社エスシーシー","エスシーシー","****","OTHER",True,"OTHER","****** 1件目 ******
レポートID: P20221353, イベント種別：試験_適正, 結果種別：継続（合格）
開始日時: 2022-12-13 13:00:30, 終了日時: 2022-12-13 16:00:00
形式: 直接、, 住所種別：HCS
対応者数: 1名, 役職: 人事

------
適性試験と性格診断
適性試験は5分、10分、13分にわかれて実施。
1つ目はアルファベットの並びや数字の並びを見て法則を見つけて回答する問題。2つ目は条件の中から正しいと言える解答を選ぶ問題。3つ目はspiの非言語問題に似た問題を解く感じでした。
性格診断は10分で60個の質問に答える感じでした。時間が足りなかったら1分くらい貰えました。

****** 2件目 ******
レポートID: P20221429, イベント種別：試験_面接, 結果種別：継続（合格）
開始日時: 2022-12-22 09:00:30, 終了日時: 2022-12-22 09:00:50
形式: 直接、 単独, 住所種別：HCS
対応者数: 1名, 役職: 校長

------
20分くらいの個人面談。気になる点があった場合指摘していただける(身だしなみ、言葉遣い)
表情を見たいということでマスクは外して行いました。
質問内容
・志望動機     ・勤務場所、業務
・自己研鑽     ・家族構成
・健康状態     ・HCS入学理由
・中学・高校の部活 ・アルバイト経験

****** 3件目 ******
レポートID: P20221471, イベント種別：試験_面接, 結果種別：内定
開始日時: 2023-01-13 10:00:10, 終了日時: 2023-01-13 11:00:00
形式: オンライン, 住所種別：HCS
対応者数: 2名, 役職: 人事

------
オンライン個人面接。20分程度。
基本的に履歴書の内容に触れた質問だった。
出身地、出身校に関連した質問も来た。
質問内容
・志望理由
・志望度(第何志望)
・希望勤務部署
・希望勤務場所
・趣味
・アルバイト経験
・学生時代に力を入れたこと
・資格取得の所要回数(基本情報は何回で)
・健康状態
・健康のため取り組んでいること
","その他","その他","その他","OFFERED","2023","S","1",True,"20213042","2023-10-16","2023-10-16"
10,"PXXXXXXXX","2022-12-13 13:00:30","2023-01-12 17:00:10","株式会社SCC","scc","****","OTHER",True,"OTHER","****** 1件目 ******
レポートID: P20221352, イベント種別：試験_適正, 結果種別：継続（合格）
開始日時: 2022-12-13 13:00:30, 終了日時: 2022-12-13 15:00:00
形式: 対面, 住所種別：HCS
対応者数: 1名, 役職: 人事

------
筆記試験(SPI、CAB:法則性、推論、計算、性格試験の4種類)
1.法則性→17問を5分で解く
2.推論→約10問を12分で解く
3.計算→13問を13分で解く
4.性格試験→60問を10分で解く

****** 2件目 ******
レポートID: P20221398, イベント種別：試験_面接, 結果種別：他
開始日時: 2022-12-22 10:00:30, 終了日時: 2022-12-22 10:00:50
形式: 直接, 住所種別：HCS
対応者数: 1名, 役職: 校長先生

------
面接
Q.株式会社SCCの志望理由
Q.希望就職場所は
Q.家族構成は
Q.家族の仕事は
Q.アルバイトはやっているの
Q.部活経験は?

****** 3件目 ******
レポートID: P20221448, イベント種別：試験_面接, 結果種別：内定
開始日時: 2023-01-12 16:00:30, 終了日時: 2023-01-12 17:00:10
形式: オンライン, 住所種別：HCS
対応者数: 2名, 役職: 人事

------
PC越しに2名の面接官がいました。
質問事項
・名前の由来
・志望動機
・ITに興味を持ったのはいつ頃
・部活動経験
・アルバイト経験
・働きたい仕事内容(顧客名など詳しく)
他の質問事項は忘れてしまいました。
","その他","その他","その他","OFFERED","2023","S","1",True,"20213073","2023-10-16","2023-10-16"
11,"PXXXXXXXX","2022-12-13 13:00:30","2023-01-12 16:00:00","株式会社エスシーシー","エスシーシー","****","OTHER",True,"OTHER","****** 1件目 ******
レポートID: P20221351, イベント種別：試験_他, 結果種別：継続（合格）
開始日時: 2022-12-13 13:00:30, 終了日時: 2022-12-13 16:00:00
形式: 単独, 住所種別：HCS
対応者数: 1名, 役職: 人事

------
試験は適性試験と性格診断試験の二つを行いました。適性試験は予めやっておいた問題と同じようなものが出ました。1,2,3と別の形式の問題があり、試験全体で30分ほどだったと思います。
性格診断は10、20分くらいで60個の問に回答しなければならず、その上マークを黒く塗るタイプの回答方法だったため時間がとても少なかったです。
恐らく時間を敢えて少なくして焦らせる目的や、それによって嘘を付けないようにしているのだと思いました。
また、前半と後半で同じ意味の問を違う言い方で聞かれました。
後ろの回答を見直して同じ回答を選ぶ余裕もないので、しっかりと前半と後半でずれるような回答をしないよう正直に答えました。
質疑応答を試験終了後に行いました。

****** 2件目 ******
レポートID: P20221426, イベント種別：試験_面接, 結果種別：他
開始日時: 2022-12-22 09:00:50, 終了日時: 2022-12-22 10:00:10
形式:  単独, 住所種別：HCS
対応者数: 1, 役職: 校長先生

------
企業との面接の前の練習というような感じで、色々と質疑応答の際にアドバイスをしてもらえました。
アドバイス以外では雑談のように会話してくれたので緊張をうまくほぐして話すことが出来ました。
改善すべきところとしては
自己啓発で話す内容をもっと掘り下げる
システムソリューションサービスで働きたいので、もっとサービス内容について掘り下げる
スポーツであったり、バイトはしておいた方が良い
家族の仕事内容把握しておく
ネクタイ練習しておく
といった感じでした。改善の余地だらけでもっと頑張りたいと思いました。

****** 3件目 ******
レポートID: P20221458, イベント種別：試験_面接, 結果種別：不合格
開始日時: 2023-01-12 15:00:40, 終了日時: 2023-01-12 16:00:00
形式:  単独, 住所種別：HCS
対応者数: 2名, 役職: 人事

------
面接試験
志望動機
エスシーシーで何をしたいか
趣味
特技
勤務地
資格
次に取る資格
覚えている限りではこの質問をされました。どの質問にも明確に答えることができたと思います。理由に関しても言えることも出来た上に、趣味や特技の話で色々と話すことが出来たので手応えは良かったです。
面接の仕方は、自宅ではなく学校でリモート面接をする形でした。
","その他","その他","その他","UNSUCCESS","2023","S","1",True,"20213075","2023-10-16","2023-10-16"
